,station_id,name,latitude,longitude
0,525,"0    Glenwood Ave & Touhy Ave
Name: start_station_name, dtype: object","0    42.0128
Name: start_lat, dtype: float64","0   -87.665906
Name: start_lng, dtype: float64"
1,TA1306000016,"2    Sheffield Ave & Fullerton Ave
Name: start_station_name, dtype: object","2    41.925602
Name: start_lat, dtype: float64","2   -87.653708
Name: start_lng, dtype: float64"
2,KA1504000151,"3    Clark St & Bryn Mawr Ave
Name: start_station_name, dtype: object","3    41.983593
Name: start_lat, dtype: float64","3   -87.669154
Name: start_lng, dtype: float64"
3,TA1309000002,"4    Michigan Ave & Jackson Blvd
Name: start_station_name, dtype: object","4    41.87785
Name: start_lat, dtype: float64","4   -87.62408
Name: start_lng, dtype: float64"
4,637,"5    Wood St & Chicago Ave
Name: start_station_name, dtype: object","5    41.895634
Name: start_lat, dtype: float64","5   -87.672069
Name: start_lng, dtype: float64"
5,KA1504000158,"6    Oakley Ave & Irving Park Rd
Name: start_station_name, dtype: object","6    41.954341
Name: start_lat, dtype: float64","6   -87.68608
Name: start_lng, dtype: float64"
6,13304,"8    Racine Ave & 15th St
Name: start_station_name, dtype: object","8    41.861251
Name: start_lat, dtype: float64","8   -87.6565
Name: start_lng, dtype: float64"
7,TA1309000004,"9    LaSalle St & Jackson Blvd
Name: start_station_name, dtype: object","9    41.878166
Name: start_lat, dtype: float64","9   -87.631929
Name: start_lng, dtype: float64"
8,TA1307000119,"11    Clarendon Ave & Leland Ave
Name: start_station_name, dtype: object","11    41.967962
Name: start_lat, dtype: float64","11   -87.650029
Name: start_lng, dtype: float64"
9,15530,"13    Rush St & Superior St
Name: start_station_name, dtype: object","13    41.895765
Name: start_lat, dtype: float64","13   -87.625908
Name: start_lng, dtype: float64"
10,LP-,"15    Lincoln Park Conservatory
Name: start_station_name, dtype: object","15    41.923931
Name: start_lat, dtype: float64","15   -87.635825
Name: start_lng, dtype: float64"
11,TA1307000038,"21    Sedgwick St & North Ave
Name: start_station_name, dtype: object","21    41.911386
Name: start_lat, dtype: float64","21   -87.638677
Name: start_lng, dtype: float64"
12,15646,"22    California Ave & Altgeld St
Name: start_station_name, dtype: object","22    41.926647
Name: start_lat, dtype: float64","22   -87.697661
Name: start_lng, dtype: float64"
13,TA1308000036,"25    Indiana Ave & 31st St
Name: start_station_name, dtype: object","25    41.838842
Name: start_lat, dtype: float64","25   -87.621857
Name: start_lng, dtype: float64"
14,TA1309000063,"27    Lake Park Ave & 56th St
Name: start_station_name, dtype: object","27    41.793242
Name: start_lat, dtype: float64","27   -87.587782
Name: start_lng, dtype: float64"
15,TA1307000107,"30    Sheridan Rd & Montrose Ave
Name: start_station_name, dtype: object","30    41.961647
Name: start_lat, dtype: float64","30   -87.654632
Name: start_lng, dtype: float64"
16,SL-007,"32    State St & Harrison St
Name: start_station_name, dtype: object","32    41.874053
Name: start_lat, dtype: float64","32   -87.627716
Name: start_lng, dtype: float64"
17,KA1504000117,"33    Halsted St & North Branch St
Name: start_station_name, dtype: object","33    41.899331
Name: start_lat, dtype: float64","33   -87.648567
Name: start_lng, dtype: float64"
18,KA1504000080,"38    Washtenaw Ave & Lawrence Ave
Name: start_station_name, dtype: object","38    41.968747
Name: start_lat, dtype: float64","38   -87.696182
Name: start_lng, dtype: float64"
19,KA1503000071,"42    University Ave & 57th St
Name: start_station_name, dtype: object","42    41.791478
Name: start_lat, dtype: float64","42   -87.599861
Name: start_lng, dtype: float64"
20,331,"46    Halsted St & Clybourn Ave
Name: start_station_name, dtype: object","46    41.909668
Name: start_lat, dtype: float64","46   -87.648128
Name: start_lng, dtype: float64"
21,13021,"47    Clinton St & Lake St
Name: start_station_name, dtype: object","47    41.885637
Name: start_lat, dtype: float64","47   -87.641823
Name: start_lng, dtype: float64"
22,661,"49    Evanston Civic Center
Name: start_station_name, dtype: object","49    42.057044
Name: start_lat, dtype: float64","49   -87.686554
Name: start_lng, dtype: float64"
